學年度,設立別,學程別,群科別,畢業生人數,未升學就業人數,正在接受職業訓練人數,正在軍中服役人數,需要工作而未找到人數,補習或準備升學人數,健康不良在家休養人數,準備出國人數
107,私立,進修部,機械群,87,15,0,9,6,0,0,0
107,私立,進修部,藝術群,103,14,0,3,10,1,0,0
107,私立,進修部,設計群,369,23,0,2,19,0,0,2
107,私立,進修部,電機與電子群,330,46,16,22,4,1,3,0
107,私立,進修部,餐旅群,3202,279,19,78,160,9,13,0
108,國立,實用技能學程,動力機械群,149,9,0,1,6,2,0,0
108,國立,實用技能學程,商業與管理群,345,21,1,6,12,1,1,0
108,國立,實用技能學程,土木與建築群,86,6,1,2,2,1,0,0
108,國立,實用技能學程,機械群,340,20,0,16,1,3,0,0
108,國立,實用技能學程,水產群,24,3,0,1,2,0,0,0
108,國立,實用技能學程,海事群,21,0,0,0,0,0,0,0
108,國立,實用技能學程,美容造型群,157,6,2,1,3,0,0,0
108,國立,實用技能學程,設計群,170,7,0,0,6,0,1,0
108,國立,實用技能學程,農業群,131,4,0,0,4,0,0,0
108,國立,實用技能學程,電機與電子群,486,49,1,28,14,6,0,0
108,國立,實用技能學程,食品群,201,17,1,7,9,0,0,0
108,國立,實用技能學程,餐旅群,379,18,2,4,11,0,1,0
108,國立,專業群科,動力機械群,1715,78,3,40,18,16,1,0
108,國立,專業群科,化工群,1235,17,0,10,3,3,0,1
108,國立,專業群科,商業與管理群,8800,152,4,29,43,67,5,4
108,國立,專業群科,土木與建築群,1540,52,4,19,10,16,3,0
108,國立,專業群科,外語群,1500,20,0,1,6,12,0,1
108,國立,專業群科,家政群,1396,21,0,3,7,8,0,3
108,國立,專業群科,機械群,5477,147,12,66,37,29,2,1
108,國立,專業群科,水產群,163,12,0,6,6,0,0,0
108,國立,專業群科,海事群,250,16,0,10,2,2,2,0
108,國立,專業群科,綜合,1153,286,82,4,165,13,22,0
108,國立,專業群科,藝術群,246,9,0,3,5,1,0,0
108,國立,專業群科,設計群,2329,57,2,8,19,23,2,3
108,國立,專業群科,農業群,1548,36,1,8,20,4,3,0
108,國立,專業群科,電機與電子群,7174,192,5,82,39,65,0,1
108,國立,專業群科,食品群,1134,29,3,4,15,4,3,0
108,國立,專業群科,餐旅群,1386,28,1,7,13,7,0,0
108,國立,普通科,學術群,70480,2386,32,198,31,2066,25,34
108,國立,綜合高中,動力機械群,13,1,0,1,0,0,0,0
108,國立,綜合高中,化工群,56,2,0,1,0,1,0,0
108,國立,綜合高中,商業與管理群,622,11,0,2,3,5,1,0
108,國立,綜合高中,土木與建築群,138,1,0,1,0,0,0,0
108,國立,綜合高中,外語群,181,5,1,0,2,2,0,0
108,國立,綜合高中,學術群,5019,168,1,13,5,147,0,2
108,國立,綜合高中,家政群,19,0,0,0,0,0,0,0
108,國立,綜合高中,機械群,141,2,0,2,0,0,0,0
108,國立,綜合高中,水產群,21,1,0,0,0,1,0,0
108,國立,綜合高中,綜合,91,3,0,1,2,0,0,0
108,國立,綜合高中,藝術群,15,0,0,0,0,0,0,0
108,國立,綜合高中,設計群,235,8,2,1,1,4,0,0
108,國立,綜合高中,農業群,62,0,0,0,0,0,0,0
108,國立,綜合高中,電機與電子群,269,6,0,3,1,2,0,0
108,國立,綜合高中,食品群,95,1,0,0,1,0,0,0
108,國立,綜合高中,餐旅群,411,15,1,10,3,1,0,0
108,國立,進修部,動力機械群,292,30,1,15,9,5,0,0
108,國立,進修部,化工群,43,7,0,2,2,1,2,0
108,國立,進修部,商業與管理群,996,74,6,19,37,4,8,0
108,國立,進修部,土木與建築群,77,4,0,3,1,0,0,0
108,國立,進修部,外語群,33,0,0,0,0,0,0,0
108,國立,進修部,學術群,334,19,0,7,3,3,5,1
108,國立,進修部,家政群,155,10,1,4,2,0,3,0
108,國立,進修部,機械群,483,44,3,30,9,2,0,0
108,國立,進修部,設計群,203,13,0,4,8,1,0,0
108,國立,進修部,農業群,41,7,0,5,2,0,0,0
108,國立,進修部,電機與電子群,546,51,1,34,11,4,1,0
108,國立,進修部,食品群,130,11,2,1,4,1,3,0
108,國立,進修部,餐旅群,146,6,0,1,4,0,1,0
108,私立,實用技能學程,動力機械群,1087,132,11,74,44,0,3,0
108,私立,實用技能學程,商業與管理群,510,40,2,14,15,6,2,1
108,私立,實用技能學程,機械群,70,2,0,2,0,0,0,0
108,私立,實用技能學程,美容造型群,780,63,16,2,38,2,5,0
108,私立,實用技能學程,藝術群,79,12,1,2,8,0,1,0
108,私立,實用技能學程,農業群,29,3,0,0,2,0,1,0
108,私立,實用技能學程,電機與電子群,517,35,0,17,17,0,1,0
108,私立,實用技能學程,食品群,218,32,1,7,24,0,0,0
108,私立,實用技能學程,餐旅群,2590,283,22,78,159,15,8,1
108,私立,專業群科,動力機械群,3540,374,23,197,135,10,8,1
108,私立,專業群科,商業與管理群,5421,173,9,54,70,31,6,3
108,私立,專業群科,土木與建築群,105,2,0,2,0,0,0,0
108,私立,專業群科,外語群,3906,93,4,18,28,24,6,13
108,私立,專業群科,家政群,4378,221,29,13,148,12,11,8
108,私立,專業群科,機械群,1424,85,1,46,31,7,0,0
108,私立,專業群科,海事群,18,0,0,0,0,0,0,0
108,私立,專業群科,綜合,379,98,32,0,55,2,9,0
108,私立,專業群科,藝術群,2274,128,12,22,43,42,4,5
108,私立,專業群科,設計群,4627,179,21,40,59,39,11,9
108,私立,專業群科,電機與電子群,5790,269,19,132,68,32,11,7
108,私立,專業群科,食品群,122,16,0,4,12,0,0,0
108,私立,專業群科,餐旅群,12504,730,29,224,399,26,23,29
108,私立,普通科,學術群,21148,778,19,62,12,631,2,52
108,私立,綜合高中,化工群,141,0,0,0,0,0,0,0
108,私立,綜合高中,商業與管理群,584,9,0,5,0,3,1,0
108,私立,綜合高中,外語群,353,8,1,0,0,6,0,1
108,私立,綜合高中,學術群,803,17,1,4,1,10,0,1
108,私立,綜合高中,家政群,189,4,0,0,1,2,0,1
108,私立,綜合高中,綜合,158,12,0,5,4,3,0,0
108,私立,綜合高中,設計群,228,4,0,0,1,3,0,0
108,私立,綜合高中,電機與電子群,303,12,0,9,1,1,1,0
108,私立,綜合高中,餐旅群,555,16,0,5,7,3,1,0
108,私立,進修部,動力機械群,508,61,0,38,14,4,4,1
108,私立,進修部,商業與管理群,1157,98,9,21,60,2,4,2
108,私立,進修部,外語群,147,15,1,5,5,2,0,2
108,私立,進修部,學術群,212,3,0,2,0,0,1,0
108,私立,進修部,家政群,888,53,8,6,35,1,3,0
108,私立,進修部,機械群,64,11,1,4,6,0,0,0
108,私立,進修部,藝術群,128,16,0,5,11,0,0,0
108,私立,進修部,設計群,267,24,1,5,7,8,1,2
108,私立,進修部,電機與電子群,252,15,1,3,7,3,1,0
108,私立,進修部,餐旅群,2886,248,17,65,137,7,18,4
109,國立,實用技能學程,動力機械群,86,14,0,7,5,0,1,1
109,國立,實用技能學程,商業與管理群,293,18,3,6,7,1,1,0
109,國立,實用技能學程,土木與建築群,116,7,0,4,3,0,0,0
109,國立,實用技能學程,機械群,379,25,1,13,7,3,1,0
109,國立,實用技能學程,水產群,15,4,0,0,4,0,0,0
109,國立,實用技能學程,海事群,12,3,0,0,2,1,0,0
109,國立,實用技能學程,美容造型群,133,3,0,1,2,0,0,0
109,國立,實用技能學程,設計群,140,8,0,4,4,0,0,0
109,國立,實用技能學程,農業群,115,8,1,2,5,0,0,0
109,國立,實用技能學程,電機與電子群,378,26,1,14,8,3,0,0
109,國立,實用技能學程,食品群,208,18,0,2,13,2,1,0
109,國立,實用技能學程,餐旅群,399,20,1,4,11,1,3,0
109,國立,專業群科,動力機械群,1649,58,2,30,10,11,5,0
109,國立,專業群科,化工群,1194,12,1,5,4,1,1,0
109,國立,專業群科,商業與管理群,8381,117,10,32,38,33,3,1
109,國立,專業群科,土木與建築群,1367,29,4,9,11,4,0,1
109,國立,專業群科,外語群,1421,14,1,0,4,6,1,2
109,國立,專業群科,家政群,1318,22,5,0,9,4,3,1
109,國立,專業群科,機械群,5129,142,14,58,33,23,14,0
109,國立,專業群科,水產群,149,13,1,7,3,1,1,0
109,國立,專業群科,海事群,249,20,1,10,8,1,0,0
109,國立,專業群科,綜合,1039,277,52,8,169,16,31,1
109,國立,專業群科,藝術群,247,11,4,5,0,2,0,0
109,國立,專業群科,設計群,2312,28,2,4,8,11,1,2
109,國立,專業群科,農業群,1465,47,6,12,20,3,6,0
109,國立,專業群科,電機與電子群,6819,167,9,72,37,46,2,1
109,國立,專業群科,食品群,1079,37,1,4,24,1,6,1
109,國立,專業群科,餐旅群,1333,31,1,7,14,6,2,1
109,國立,普通科,學術群,68282,1129,35,129,40,894,13,18
109,國立,綜合高中,動力機械群,8,1,0,1,0,0,0,0
109,國立,綜合高中,化工群,42,0,0,0,0,0,0,0
109,國立,綜合高中,商業與管理群,480,4,0,1,1,2,0,0
109,國立,綜合高中,土木與建築群,100,0,0,0,0,0,0,0
109,國立,綜合高中,外語群,124,0,0,0,0,0,0,0
109,國立,綜合高中,學術群,4780,65,5,12,6,41,0,1
109,國立,綜合高中,家政群,4,0,0,0,0,0,0,0
109,國立,綜合高中,機械群,111,1,0,0,0,1,0,0
109,國立,綜合高中,水產群,27,0,0,0,0,0,0,0
109,國立,綜合高中,綜合,94,1,0,1,0,0,0,0
109,國立,綜合高中,藝術群,4,0,0,0,0,0,0,0
109,國立,綜合高中,設計群,155,2,0,0,1,1,0,0
109,國立,綜合高中,農業群,64,0,0,0,0,0,0,0
109,國立,綜合高中,電機與電子群,225,1,0,0,1,0,0,0
109,國立,綜合高中,食品群,94,0,0,0,0,0,0,0
109,國立,綜合高中,餐旅群,309,14,0,7,6,1,0,0
109,國立,進修部,動力機械群,204,21,0,17,2,1,1,0
109,國立,進修部,化工群,31,3,0,0,3,0,0,0
109,國立,進修部,商業與管理群,895,53,3,9,25,8,8,0
109,國立,進修部,土木與建築群,56,2,1,1,0,0,0,0
109,國立,進修部,外語群,22,0,0,0,0,0,0,0
109,國立,進修部,學術群,379,13,1,3,5,1,3,0
109,國立,進修部,家政群,126,5,0,1,1,1,2,0
109,國立,進修部,機械群,414,36,3,24,6,2,1,0
109,國立,進修部,設計群,147,13,2,2,7,1,0,1
109,國立,進修部,農業群,38,4,1,1,0,1,1,0
109,國立,進修部,電機與電子群,476,63,3,36,21,3,0,0
109,國立,進修部,食品群,150,12,1,3,4,0,4,0
109,國立,進修部,餐旅群,151,10,1,2,7,0,0,0
109,私立,實用技能學程,動力機械群,926,102,2,38,60,1,1,0
109,私立,實用技能學程,商業與管理群,383,36,4,4,23,2,0,3
109,私立,實用技能學程,機械群,79,6,1,1,3,0,1,0
109,私立,實用技能學程,美容造型群,727,75,7,1,64,1,2,0
109,私立,實用技能學程,藝術群,110,9,0,1,7,1,0,0
109,私立,實用技能學程,農業群,68,8,0,1,7,0,0,0
109,私立,實用技能學程,電機與電子群,628,37,5,19,12,1,0,0
109,私立,實用技能學程,食品群,236,15,2,5,4,1,3,0
109,私立,實用技能學程,餐旅群,2474,286,24,35,215,4,7,1
109,私立,專業群科,動力機械群,3020,232,14,78,125,13,2,0
109,私立,專業群科,商業與管理群,5425,226,13,75,102,12,10,14
109,私立,專業群科,土木與建築群,102,2,0,1,1,0,0,0
109,私立,專業群科,外語群,3737,69,4,8,29,17,5,6
109,私立,專業群科,家政群,3947,243,12,11,189,8,20,3
109,私立,專業群科,機械群,1312,51,2,12,28,6,2,1
109,私立,專業群科,海事群,22,0,0,0,0,0,0,0
109,私立,專業群科,綜合,320,118,18,0,84,6,10,0
109,私立,專業群科,藝術群,2245,120,6,12,78,20,2,2
109,私立,專業群科,設計群,4090,156,7,43,68,21,9,8
109,私立,專業群科,農業群,60,8,0,5,0,2,1,0
109,私立,專業群科,電機與電子群,5356,270,13,109,104,30,12,2
109,私立,專業群科,食品群,103,20,0,4,16,0,0,0
109,私立,專業群科,餐旅群,10698,728,22,165,467,33,21,20
109,私立,普通科,學術群,22119,436,7,32,10,354,10,23
109,私立,綜合高中,化工群,153,0,0,0,0,0,0,0
109,私立,綜合高中,商業與管理群,382,10,2,5,1,2,0,0
109,私立,綜合高中,外語群,270,1,0,0,0,0,1,0
109,私立,綜合高中,學術群,904,12,0,0,0,9,0,3
109,私立,綜合高中,家政群,171,8,2,4,2,0,0,0
109,私立,綜合高中,綜合,20,0,0,0,0,0,0,0
109,私立,綜合高中,設計群,99,2,1,1,0,0,0,0
109,私立,綜合高中,電機與電子群,222,6,0,2,1,1,1,1
109,私立,綜合高中,餐旅群,421,30,1,18,5,3,2,1
109,私立,進修部,動力機械群,350,37,0,17,18,0,2,0
109,私立,進修部,商業與管理群,1123,126,9,19,76,9,11,2
109,私立,進修部,外語群,133,9,0,3,3,1,0,2
109,私立,進修部,學術群,127,1,0,1,0,0,0,0
109,私立,進修部,家政群,766,56,5,1,33,6,11,0
109,私立,進修部,機械群,59,5,0,3,2,0,0,0
109,私立,進修部,藝術群,104,20,0,4,14,0,2,0
109,私立,進修部,設計群,282,27,8,6,7,4,2,0
109,私立,進修部,電機與電子群,190,25,4,3,13,2,2,1
109,私立,進修部,餐旅群,2529,264,40,60,131,14,16,3
110,國立,實用技能學程,動力機械群,145,17,2,7,6,1,1,0
110,國立,實用技能學程,商業與管理群,257,18,0,9,4,5,0,0
110,國立,實用技能學程,土木與建築群,56,3,0,1,1,1,0,0
110,國立,實用技能學程,機械群,346,22,0,16,5,0,1,0
110,國立,實用技能學程,水產群,11,0,0,0,0,0,0,0
110,國立,實用技能學程,海事群,16,3,0,0,3,0,0,0
110,國立,實用技能學程,美容造型群,127,2,0,0,2,0,0,0
110,國立,實用技能學程,設計群,97,3,0,0,2,0,1,0
110,國立,實用技能學程,農業群,116,5,0,0,3,1,0,1
110,國立,實用技能學程,電機與電子群,306,23,2,5,11,5,0,0
110,國立,實用技能學程,食品群,182,15,2,1,11,0,1,0
110,國立,實用技能學程,餐旅群,315,16,5,2,5,0,2,2
110,國立,專業群科,動力機械群,1481,54,2,18,18,14,1,1
110,國立,專業群科,化工群,1138,15,0,9,2,3,1,0
110,國立,專業群科,商業與管理群,7925,108,9,23,46,27,3,0
110,國立,專業群科,土木與建築群,1369,42,1,13,15,12,0,1
110,國立,專業群科,外語群,1310,17,3,3,2,7,0,2
110,國立,專業群科,家政群,2272,224,56,5,133,8,21,1
110,國立,專業群科,機械群,4659,146,9,62,26,41,6,2
110,國立,專業群科,水產群,105,4,1,1,2,0,0,0
110,國立,專業群科,海事群,219,21,14,4,2,0,1,0
110,國立,專業群科,藝術群,242,10,5,3,0,2,0,0
110,國立,專業群科,設計群,2280,40,1,1,12,21,4,1
110,國立,專業群科,農業群,1420,37,2,8,23,3,1,0
110,國立,專業群科,電機與電子群,6557,181,9,78,42,48,1,3
110,國立,專業群科,食品群,1017,32,0,4,24,4,0,0
110,國立,專業群科,餐旅群,1373,37,2,8,17,7,3,0
110,國立,普通科,學術群,66673,1228,37,72,26,1062,7,24
110,國立,綜合高中,化工群,54,0,0,0,0,0,0,0
110,國立,綜合高中,商業與管理群,463,2,1,1,0,0,0,0
110,國立,綜合高中,土木與建築群,88,3,0,1,0,2,0,0
110,國立,綜合高中,外語群,126,11,0,2,0,9,0,0
110,國立,綜合高中,學術群,4230,71,1,6,7,53,3,1
110,國立,綜合高中,機械群,87,3,0,0,0,3,0,0
110,國立,綜合高中,水產群,14,0,0,0,0,0,0,0
110,國立,綜合高中,綜合,69,0,0,0,0,0,0,0
110,國立,綜合高中,藝術群,9,0,0,0,0,0,0,0
110,國立,綜合高中,設計群,135,2,0,0,2,0,0,0
110,國立,綜合高中,農業群,66,0,0,0,0,0,0,0
110,國立,綜合高中,電機與電子群,217,3,0,0,0,3,0,0
110,國立,綜合高中,食品群,75,0,0,0,0,0,0,0
110,國立,綜合高中,餐旅群,200,18,6,3,3,6,0,0
110,國立,進修部,動力機械群,207,13,0,9,2,2,0,0
110,國立,進修部,化工群,27,2,0,1,1,0,0,0
110,國立,進修部,商業與管理群,791,66,3,11,38,9,5,0
110,國立,進修部,土木與建築群,78,2,0,1,0,1,0,0
110,國立,進修部,外語群,10,1,0,0,0,0,0,1
110,國立,進修部,學術群,333,7,0,1,5,0,1,0
110,國立,進修部,家政群,105,6,0,0,4,0,2,0
110,國立,進修部,機械群,345,23,3,12,5,1,1,1
110,國立,進修部,設計群,132,9,1,0,3,4,1,0
110,國立,進修部,農業群,36,7,0,2,3,0,2,0
110,國立,進修部,電機與電子群,413,25,3,13,3,2,2,2
110,國立,進修部,食品群,120,6,0,3,1,0,2,0
110,國立,進修部,餐旅群,125,2,0,1,1,0,0,0
110,私立,實用技能學程,動力機械群,770,76,1,58,15,1,1,0
110,私立,實用技能學程,商業與管理群,295,9,1,0,3,0,5,0
110,私立,實用技能學程,機械群,68,7,1,1,5,0,0,0
110,私立,實用技能學程,美容造型群,591,45,2,0,39,1,2,1
110,私立,實用技能學程,藝術群,102,9,7,0,2,0,0,0
110,私立,實用技能學程,設計群,74,4,0,0,4,0,0,0
110,私立,實用技能學程,農業群,85,2,0,0,2,0,0,0
110,私立,實用技能學程,電機與電子群,601,33,0,19,12,2,0,0
110,私立,實用技能學程,食品群,202,18,0,5,12,0,1,0
110,私立,實用技能學程,餐旅群,2320,224,7,67,137,8,4,1
110,私立,專業群科,動力機械群,2474,159,11,90,48,4,5,1
110,私立,專業群科,商業與管理群,4603,161,16,54,63,10,7,11
110,私立,專業群科,土木與建築群,100,6,0,3,2,1,0,0
110,私立,專業群科,外語群,3093,60,14,12,11,17,2,4
110,私立,專業群科,家政群,3945,273,41,6,164,29,30,3
110,私立,專業群科,機械群,998,34,2,24,5,1,1,1
110,私立,專業群科,海事群,18,0,0,0,0,0,0,0
110,私立,專業群科,藝術群,1904,91,6,22,8,39,5,11
110,私立,專業群科,設計群,3620,99,12,15,41,16,12,3
110,私立,專業群科,農業群,43,4,0,0,2,2,0,0
110,私立,專業群科,電機與電子群,4521,168,11,82,51,14,9,1
110,私立,專業群科,食品群,153,12,1,8,3,0,0,0
110,私立,專業群科,餐旅群,9340,418,22,120,227,22,8,19
110,私立,普通科,學術群,21239,461,12,40,24,332,8,45
110,私立,綜合高中,化工群,139,0,0,0,0,0,0,0
110,私立,綜合高中,商業與管理群,288,1,0,0,0,1,0,0
110,私立,綜合高中,外語群,202,6,0,1,1,0,1,3
110,私立,綜合高中,學術群,539,6,0,1,1,2,1,1
110,私立,綜合高中,家政群,117,2,0,0,0,0,2,0
110,私立,綜合高中,綜合,21,1,0,1,0,0,0,0
110,私立,綜合高中,設計群,65,2,0,1,1,0,0,0
110,私立,綜合高中,電機與電子群,179,9,6,1,0,2,0,0
110,私立,綜合高中,餐旅群,203,10,3,2,0,2,3,0
110,私立,進修部,動力機械群,255,25,0,9,15,1,0,0
110,私立,進修部,商業與管理群,1063,101,3,19,70,3,4,2
110,私立,進修部,外語群,144,7,0,3,3,1,0,0
110,私立,進修部,學術群,117,2,0,2,0,0,0,0
110,私立,進修部,家政群,697,42,4,5,30,0,3,0
110,私立,進修部,機械群,63,4,0,4,0,0,0,0
110,私立,進修部,藝術群,71,6,0,2,1,0,3,0
110,私立,進修部,設計群,217,10,1,1,2,2,3,1
110,私立,進修部,電機與電子群,131,13,2,4,5,1,1,0
110,私立,進修部,餐旅群,2280,172,9,53,82,11,13,4
